degree,l1_error_sum,seconds
50,49.49572719228649,0.005405799995060079
60,0.0017540129518349157,0.006815000000642613
70,2.384428377522063e-07,0.0089696999930311
80,2.293556622956494e-07,0.010874200001126155
90,2.293556622956494e-07,0.009910599997965619
100,2.293556622956494e-07,0.01739110000198707
